rms_std	0.04013040234446839
spectral_flux_std	0.03973878243333048
temporal_spectral_flux	0.03892227442199583
mfcc_std_2	0.03819775654305234
chroma_std_10	0.03355947271656051
hnr_mean	0.024800750618041306
chroma_std_1	0.02478416631223781
mfcc_mean_8	0.02394080500374432
mfcc_mean_2	0.02159936191845002
mfcc_mean_9	0.02123350740242466
chroma_mean_10	0.019897877979937265
zcr_mean	0.019895034575555647
mfcc_mean_5	0.019241783175074627
mfcc_delta_std_12	0.01597245671990428
mfcc_mean_1	0.01595974411868152
chroma_mean_3	0.015282012551689112
spectral_flux_mean	0.015055976511636744
mfcc_delta_std_2	0.014853191155015301
mfcc_mean_4	0.013485269677804612
rms_mean	0.013375442197046445
